x_idx,y_idx,T,qx,qy
21,59,0.453693,3.08752e-05,0.000911304
21,60,0.448209,3.2175e-05,0.000911877
21,61,0.442723,3.35074e-05,0.000912497
21,62,0.437232,3.48755e-05,0.000913167
21,63,0.431737,3.6282e-05,0.000913896
21,64,0.426238,3.77294e-05,0.000914689
21,65,0.420733,3.92198e-05,0.000915556
21,66,0.415223,4.07546e-05,0.000916503
21,67,0.409708,4.23349e-05,0.000917541
21,68,0.404185,4.39609e-05,0.00091868
21,69,0.398656,4.56319e-05,0.000919931
21,70,0.393118,4.73462e-05,0.000921307
21,71,0.387572,4.91008e-05,0.000922822
21,72,0.382017,5.0891e-05,0.00092449
21,73,0.376451,5.27102e-05,0.000926327
21,74,0.370873,5.45498e-05,0.00092835
21,75,0.365282,5.63984e-05,0.000930575
21,76,0.359678,5.82417e-05,0.000933021
21,77,0.354058,6.00617e-05,0.000935707
21,78,0.348421,6.18365e-05,0.000938651
21,79,0.342766,6.35398e-05,0.000941871
21,80,0.33709,6.51402e-05,0.000945384
21,81,0.331392,6.66009e-05,0.000949204
21,82,0.325671,6.78792e-05,0.000953343
21,83,0.319923,6.89267e-05,0.000957807
21,84,0.314148,6.96888e-05,0.000962597
21,85,0.308343,7.01055e-05,0.000967705
21,86,0.302506,7.0112e-05,0.000973114
21,87,0.296636,6.96402e-05,0.000978795
21,88,0.290731,6.86203e-05,0.000984706
21,89,0.28479,6.69841e-05,0.000990788
21,90,0.278812,6.46676e-05,0.000996968
21,91,0.272797,6.16161e-05,0.00100315
21,92,0.266744,5.77879e-05,0.00100924
21,93,0.260656,5.31598e-05,0.0010151
21,94,0.254533,4.77316e-05,0.0010206
21,95,0.248378,4.153e-05,0.00102561
21,96,0.242195,3.46119e-05,0.00102999
21,97,0.235987,2.70648e-05,0.0010336
21,98,0.229761,1.90057e-05,0.00103634
21,99,0.223521,1.05771e-05,0.0010381
21,100,0.244432,0.042778,-0.0464898
22,0,0.755656,0.0427588,-0.0465103
22,1,0.776784,-8.00738e-06,0.00100047
22,2,0.77077,-1.44575e-05,0.000998835
22,3,0.764769,-2.05496e-05,0.000996327
22,4,0.758785,-2.61488e-05,0.000993032
22,5,0.752823,-3.11459e-05,0.00098906
22,6,0.746887,-3.54611e-05,0.000984541
22,7,0.740979,-3.90452e-05,0.000979609
22,8,0.735102,-4.18783e-05,0.000974398
22,9,0.729257,-4.39675e-05,0.000969037
22,10,0.723445,-4.53421e-05,0.000963642
22,11,0.717664,-4.6049e-05,0.000958316
22,12,0.711916,-4.61478e-05,0.000953141
22,13,0.706198,-4.5706e-05,0.000948187
22,14,0.700509,-4.47946e-05,0.000943503
22,15,0.694847,-4.34852e-05,0.000939125
22,16,0.689211,-4.18467e-05,0.000935075
22,17,0.683598,-3.99438e-05,0.000931361
22,18,0.678006,-3.78355e-05,0.000927986
22,19,0.672434,-3.55747e-05,0.000924941
22,20,0.666879,-3.32075e-05,0.000922216
22,21,0.66134,-3.07736e-05,0.000919792
22,22,0.655814,-2.83064e-05,0.000917651
22,23,0.6503,-2.58339e-05,0.000915773
22,24,0.644797,-2.33784e-05,0.000914135
22,25,0.639303,-2.09579e-05,0.000912718
22,26,0.633817,-1.85864e-05,0.000911499
22,27,0.628337,-1.62743e-05,0.00091046
22,28,0.622864,-1.40291e-05,0.000909581
22,29,0.617395,-1.18559e-05,0.000908846
22,30,0.61193,-9.75752e-06,0.000908238
22,31,0.606469,-7.73537e-06,0.000907744
22,32,0.60101,-5.78935e-06,0.000907348
22,33,0.595553,-3.91828e-06,0.000907041
22,34,0.590098,-2.12014e-06,0.000906811
22,35,0.584644,-3.92211e-07,0.000906649
22,36,0.579191,1.26873e-06,0.000906547
22,37,0.573738,2.86629e-06,0.000906497
22,38,0.568286,4.40436e-06,0.000906493
